NAICSCode,ProjectCountyName,JobsReported,CurrentApprovalAmount,ForgivenessAmount,PAYROLL_PROCEED
484230.0,27,122,1585713.0,1205881.39,1565035.0
485111.0,1,26,122367.0,123309.06,122367.0
485112.0,1,4,67632.5,0.0,67630.5
485113.0,1,1,13525.0,0.0,13525.0
485119.0,1,5,30000.0,0.0,30000.0
485310.0,609,700,7295809.869999998,388605.34,7260488.059999998
485320.0,31,275,1134471.97,196126.59000000003,1104077.97
485410.0,10,1273,8124862.8,3076824.3400000003,8124847.8
485510.0,7,323,2500607.0,1013202.84,2274592.0
485991.0,21,1345,8854156.569999998,1922583.12,8773663.569999998
485999.0,82,446,3124554.2,939520.0900000001,3020568.2
487210.0,5,76,184982.75,892.15,179295.75
488119.0,2,182,1255405.0,1245035.5,1255404.0
488190.0,4,9,84627.0,67141.46,84627.0
488210.0,1,2,10000.0,10079.73,10000.0
488410.0,16,85,932471.0,603925.03,919000.0
488490.0,23,165,1715413.15,626721.01,1711058.15
488510.0,58,833,8136114.0,3875292.7000000007,7408122.26
488991.0,1,3,52394.0,52771.52,52394.0
488999.0,29,124,1117261.65,333775.4999999999,1091127.65
491110.0,2,4,39733.0,0.0,35006.0
492110.0,138,300,2637559.36,275294.52,2596968.36
492210.0,130,163,1365369.46,86584.94,1365192.46
493110.0,16,769,7827786.95,960898.64,6527952.95
493130.0,1,68,552300.0,545717.23,552300.0
493190.0,2,4,11195.0,7660.38,9723.0
511110.0,18,217,1503921.37,602622.0899999999,1476294.37
511120.0,10,63,541342.5,117802.66999999998,533904.5
511130.0,8,20,134220.78,90016.97,125968.78
511140.0,1,1,3855.0,0.0,2925.0
511191.0,2,12,114355.0,98886.22,93279.0
511199.0,6,31,175989.0,153814.47999999998,173904.0
511210.0,32,331,4676324.5,3584966.339999999,4242050.5
512110.0,45,122,1104588.02,485371.6100000001,1025014.02
512131.0,5,85,598295.0,306080.67,585806.0
512191.0,5,14,219184.35,13936.61,219180.35
